"","Var1","Freq"
"236","h.       Targeted violence or persecution e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake) d.       Access to services (e.g. health, food, water)",2
"237","h.       Targeted violence or persecution f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",50
"238","h.       Targeted violence or persecution f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) a.       Economic reasons",120
"239","h.       Targeted violence or persecution f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) d.       Access to services (e.g. health, food, water)",4
"240","h.       Targeted violence or persecution f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks) g.        War/ conflict",4
"241","h.       Targeted violence or persecution g.        War/ conflict",87
"242","h.       Targeted violence or persecution g.        War/ conflict a.       Economic reasons",64
"243","h.       Targeted violence or persecution g.        War/ conflict c.        Marriage, family reunification or family formation",1
"244","h.       Targeted violence or persecution g.        War/ conflict d.       Access to services (e.g. health, food, water)",17
"245","h.       Targeted violence or persecution g.        War/ conflict e.       Sudden onset natural disaster (e.g. flood, storm, landslide, earthquake)",1
"246","h.       Targeted violence or persecution g.        War/ conflict f.         Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",7
"247","i.     Other, specify: _____________",66
"248","i. Reason linked to Covid 19",5
"249","Marriage  family reunification or family formation",35
"250","Marriage, family reunification or family formation",243
"251","Natural disasters (i.e. floods drought earthquake etc)",2409
"252","Other",669
"253","Other, specify: _____________",9
"254","Re-join Family",1513
"255","Slow environmental change (e.g. livestock died due to drought, loss of agriculture due to drought/poor rainfall, sea level rise destroyed homes/assets, reduced fish stocks)",88
"256","War/ conflict",3
